rec_id,rec_id2,GNAME,SNAME,STREET,ADD1,SUBURB,POST,STATE,DOB,AGE,PHONE,SOCID,label
rec-1842-org,rec-1842-dup-0,0.92,0,0.82,0.96,1,1,0,0,1,0,0,1
rec-2740-org,rec-2740-dup-1,0.92,0,1,0.99,1,1,0,1,0,1,0,1
rec-3120-org,rec-3120-dup-0,0.92,0.89,0.7,0,1,1,1,0,1,0,0,1
rec-4119-org,rec-4119-dup-0,0.92,0.92,1,1,1,1,1,0,1,1,0,1
rec-3128-org,rec-3128-dup-0,0.92,0.95,1,0.92,1,1,0,1,1,1,0,1
rec-1664-org,rec-1664-dup-0,0.92,1,0.6,1,0.49,1,0.79,1,0,1,0,1
rec-609-org,rec-609-dup-0,0.92,1,0.7,0.96,0.88,0,0.96,0,1,1,0,1
rec-4387-org,rec-4387-dup-0,0.92,1,1,1,0.95,0,0.74,1,1,1,0,1
rec-2043-org,rec-2043-dup-0,0.92,1,1,1,1,1,0.89,1,1,0,0,1
rec-1245-org,rec-1245-dup-0,0.93,0.86,0.65,1,1,1,1,1,0,0,0,1
rec-692-dup-0,rec-441-org,0.93,0.9,0.58,0.69,0.64,0,0,0,0,0,0,0
rec-778-org,rec-778-dup-1,0.93,0.93,0.78,1,1,1,1,0,1,1,0,1
rec-416-org,rec-416-dup-0,0.93,0.97,1,0.96,0.95,1,1,0,1,1,0,1
rec-859-org,rec-859-dup-1,0.93,1,0,1,1,0,1,1,0,0,0,1
rec-447-org,rec-447-dup-0,0.93,1,0.6,1,1,1,0,1,1,0,0,1
rec-13814-org,rec-13814-dup-0,0.93,1,0.7,0,1,1,1,0,0,1,0,1
rec-197-org,rec-197-dup-0,0.93,1,1,0.74,0.79,0,1,1,1,1,0,1
rec-1034-org,rec-1034-dup-0,0.93,1,1,1,1,0,1,1,1,0,0,1
rec-3429-dup-2,rec-3429-dup-0,0.94,0,1,0.59,1,1,0,0,1,1,0,1
rec-661-org,rec-661-dup-0,0.94,0.8,1,1,0.91,1,1,1,1,1,0,1
rec-4102-org,rec-4102-dup-0,0.94,0.84,0.7,1,1,1,1,0,0,1,0,1
rec-2990-org,rec-2990-dup-0,0.94,0.94,1,1,1,1,1,1,0,0,0,1
rec-562-org,rec-562-dup-0,0.94,1,0.6,0.94,1,1,0,0,0,1,0,1
rec-2698-dup-1,rec-2119-org,0.95,0.71,0.6,0.58,0,1,0.75,0,0,0,0,0
rec-869-org,rec-869-dup-0,0.95,0.88,1,1,0.95,1,1,0,1,1,0,1
rec-11874-org,rec-11874-dup-0,0.95,0.93,1,1,1,1,1,0,1,0,0,1
rec-1720-org,rec-1720-dup-0,0.95,0.97,1,1,1,1,0.96,0,1,0,0,1
rec-1059-org,rec-1059-dup-1,0.95,0.98,0.6,1,1,1,0,1,1,1,0,1
rec-842-org,rec-842-dup-2,0.95,1,1,0.93,1,0,1,0,1,1,0,1
rec-2987-org,rec-2987-dup-0,0.95,1,1,0.93,1,1,1,0,0,1,0,1
rec-11097-org,rec-11097-dup-0,0.95,1,1,1,1,0,0.93,1,1,1,0,1
rec-2676-dup-2,rec-2676-dup-0,1,0.9,0.91,1,1,0,0,0,0,0,0,1
rec-2715-dup-1,rec-2715-dup-0,1,0.93,1,0,1,1,1,1,0,0,0,1
rec-2083-dup-1,rec-2083-dup-0,1,0.98,0.78,1,1,1,0.93,0,0,0,0,1
rec-2205-dup-2,rec-2205-dup-1,1,1,1,0,1,1,0.98,0,0,0,0,1
rec-870-org,rec-306-dup-1,0.55,0.64,0.6,0.63,0.52,1,0.87,0,0,0,0,0
rec-812-dup-0,rec-1530-dup-0,0.59,0.68,0.7,0.57,0.79,0,0,0,0,0,0,0
rec-2842-dup-0,rec-2106-org,0.64,0,0.6,0.62,0.64,0,0.88,0,0,0,0,0
rec-722-org,rec-2903-dup-1,0.68,0.83,0.6,0.57,0.52,0,0.74,0,0,0,0,0
rec-808-org,rec-363-org,0.76,0.81,0.65,0.7,0.64,1,0,1,0,0,0,0
rec-938-org,rec-938-dup-0,0.76,1,0,1,1,1,1,1,0,1,0,1
rec-931-org,rec-931-dup-0,0.78,0.82,1,1,1,1,0.93,1,1,1,0,1
rec-1196-org,rec-1196-dup-0,0.81,1,0.7,1,1,1,1,0,1,1,0,1
rec-3391-org,rec-3391-dup-0,0.81,1,1,0.95,1,1,1,1,1,0,0,1
rec-2934-dup-1,rec-2934-dup-0,0.84,1,1,0.97,1,0,1,1,0,1,0,1
rec-1221-org,rec-1221-dup-1,0.87,0.88,1,1,0.91,1,0.96,0,0,1,0,1
rec-4333-org,rec-4333-dup-0,0.87,0.93,1,0.95,0.95,1,0,1,1,1,0,1
rec-1568-org,rec-1568-dup-0,0.87,0.97,0.65,1,1,1,1,1,1,1,0,1
rec-154-org,rec-154-dup-1,0.87,1,1,1,1,1,0.88,1,0,1,0,1
rec-2022-dup-1,rec-2022-dup-0,0.88,0.9,0.65,1,0.91,1,1,1,0,1,0,1
rec-538-org,rec-538-dup-0,0.88,1,0.65,0.98,1,1,1,0,0,1,0,1
rec-3785-org,rec-3785-dup-0,0.9,0.94,0.67,1,1,1,1,1,1,1,0,1
rec-793-org,rec-793-dup-0,0.9,0.98,1,0.95,1,0,0.98,1,1,1,0,1
rec-426-dup-1,rec-426-dup-0,0.9,1,0.7,1,0.64,0,0.79,1,0,1,0,1
rec-1899-org,rec-1899-dup-0,0.91,0,1,0.92,1,0,1,0,0,0,0,1
rec-1758-org,rec-1758-dup-0,0.91,0.91,0.88,0,0.64,1,0.96,1,1,1,0,1
rec-11690-org,rec-11690-dup-0,0.91,0.92,1,1,1,1,1,1,1,0,0,1
rec-2644-org,rec-2644-dup-1,0.91,1,0.6,1,0.89,1,1,1,1,1,0,1
rec-1243-org,rec-1243-dup-0,0.91,1,0.96,0.96,1,1,0.93,0,1,1,0,1
rec-2651-org,rec-2651-dup-0,0.91,1,1,0,0.92,0,1,0,0,0,0,1
rec-2735-org,rec-2735-dup-0,0.91,1,1,0.89,1,1,1,0,1,1,0,1
rec-1191-org,rec-1191-dup-0,0.91,1,1,0.92,1,0,1,1,1,1,0,1
rec-66-org,rec-66-dup-1,0.91,1,1,0.99,1,1,0,1,1,0,0,1
rec-487-org,rec-487-dup-0,0.91,1,1,1,0.92,1,1,1,0,1,0,1
rec-634-org,rec-634-dup-0,0.92,0,0.73,1,1,0,0.83,1,1,1,0,1
rec-216-org,rec-216-dup-0,0.92,0.83,1,0.95,1,1,1,1,1,1,0,1
rec-592-org,rec-592-dup-0,0.92,0.95,0.78,1,1,1,0.83,1,1,1,0,1
rec-1984-org,rec-1984-dup-1,0.92,1,0.91,1,1,1,1,1,1,1,0,1
rec-1239-org,rec-1239-dup-0,0.92,1,1,1,0.91,0,0,1,1,1,0,1
rec-1607-org,rec-1607-dup-0,0.92,1,1,1,0.91,1,0,1,0,1,0,1
rec-781-org,rec-781-dup-0,0.93,0,0.6,0.9,1,1,1,1,1,1,0,1
rec-3047-org,rec-3047-dup-0,0.93,0.96,1,1,1,1,1,0,1,0,0,1
rec-3592-org,rec-3592-dup-1,0.93,1,0.6,0.98,1,0,0.96,1,1,1,0,1
rec-2079-org,rec-2079-dup-0,0.93,1,0.65,1,1,1,0.98,0,0,1,0,1
rec-2244-org,rec-2244-dup-0,0.93,1,0.78,1,1,1,0.96,0,1,1,0,1
rec-3940-org,rec-3940-dup-2,0.93,1,0.88,1,1,1,0.96,1,0,0,0,1
rec-2443-org,rec-2443-dup-1,0.93,1,1,0.56,1,1,0,1,0,1,0,1
rec-492-dup-1,rec-492-dup-0,0.93,1,1,0.93,1,0,0.81,0,1,0,0,1
rec-3657-org,rec-3657-dup-0,0.93,1,1,0.96,1,1,0,1,0,1,0,1
rec-2391-org,rec-2391-dup-0,0.93,1,1,1,0.95,1,0.87,1,1,1,0,1
rec-866-org,rec-866-dup-1,0.94,0.89,1,0.62,1,1,1,1,1,1,0,1
rec-3314-org,rec-3314-dup-0,0.94,1,0.7,0.89,0.81,0,1,1,1,1,0,1
rec-6250-org,rec-6250-dup-0,0.94,1,0.78,1,0.91,1,1,0,1,1,0,1
rec-4438-org,rec-4438-dup-0,0.94,1,1,0.67,1,0,0.9,1,1,1,0,1
rec-522-org,rec-522-dup-0,0.94,1,1,0.91,1,1,0,1,0,1,0,1
rec-5533-org,rec-5533-dup-0,0.94,1,1,0.95,0.8,1,1,0,1,0,0,1
rec-2285-org,rec-2285-dup-0,0.94,1,1,1,0.89,0,0.96,0,1,1,0,1
rec-4554-org,rec-4554-dup-0,0.95,0.82,0,1,0.91,1,0.96,1,1,1,0,1
rec-4853-org,rec-4853-dup-0,0.95,0.87,1,1,1,0,0,1,1,1,0,1
rec-130-org,rec-130-dup-0,0.95,0.9,0.58,0,1,1,0.96,0,1,1,0,1
rec-3791-org,rec-3791-dup-0,0.95,1,1,0.95,1,1,0.96,1,0,1,0,1
rec-552-org,rec-552-dup-1,0.95,1,1,1,0.76,1,1,1,0,1,0,1
rec-2653-dup-1,rec-2653-dup-0,0.96,1,1,1,1,0,1,0,0,1,0,1
rec-2382-dup-1,rec-2382-dup-0,1,0.95,0.82,0.5,0.88,1,1,1,1,1,0,1
rec-2121-dup-2,rec-2121-dup-1,1,0.96,1,1,1,1,0.98,0,0,1,0,1
rec-3576-dup-1,rec-3576-dup-0,1,1,0.65,1,1,0,0,0,0,0,0,1
rec-376-dup-2,rec-376-dup-1,1,1,1,1,1,1,0.81,1,1,0,0,1
rec-2841-dup-0,rec-2227-dup-0,0.57,0.63,0.6,0,0.52,1,0.74,0,0,0,0,0
rec-1241-dup-0,rec-1218-org,0.58,0.68,0.6,0.58,0.64,1,0.79,0,0,0,0,0
rec-2644-dup-1,rec-2065-org,0.58,0.75,0.65,0.77,0.52,1,0.75,1,0,0,0,0
rec-1940-org,rec-1660-dup-0,0.59,0.6,0.63,0.5,0.64,0,0.74,0,0,0,0,0
rec-618-dup-1,rec-2799-org,0.59,0.69,0,0.81,0.88,1,0.81,0,0,0,0,0
rec-1787-org,rec-1787-dup-0,0.64,0.98,1,1,1,0,0,0,1,1,0,1
rec-134-org,rec-1107-dup-0,0.68,0.71,0.67,0.7,0.64,1,0.81,0,0,0,0,0
rec-4290-org,rec-4290-dup-0,0.7,0.92,1,0.63,1,1,1,1,1,1,0,1
rec-1432-org,rec-1432-dup-0,0.72,1,0.65,1,0.79,1,1,1,1,0,0,1
rec-2111-org,rec-1235-dup-1,0.73,0.63,1,0.68,0.64,1,0,0,0,0,0,0
rec-2841-org,rec-2227-org,0.74,0.63,0.58,0,0.52,1,0.74,0,0,0,0,0
rec-684-org,rec-2286-org,0.75,0.77,0.8,0.67,0.64,0,0,0,0,0,0,0
rec-1867-org,rec-1867-dup-0,0.79,1,1,1,1,1,1,1,0,1,0,1
rec-875-org,rec-875-dup-0,0.81,0.94,0.65,1,0.95,1,0.69,1,1,1,0,1
rec-507-dup-1,rec-507-dup-0,0.82,1,0.65,1,1,1,1,0,0,0,0,1
rec-1773-org,rec-1007-org,0.83,0.63,0.65,0.53,0.64,1,0,0,0,0,0,0
rec-4827-org,rec-4827-dup-0,0.84,1,1,1,0,1,0,1,0,1,0,1
rec-3639-org,rec-3639-dup-0,0.84,1,1,1,0.79,1,0.89,1,1,1,0,1
rec-54-org,rec-54-dup-0,0.84,1,1,1,1,1,1,1,0,0,0,1
rec-683-dup-1,rec-162-dup-0,0.85,0.79,0.91,0.62,0.64,1,0.79,0,0,0,0,0
rec-3820-org,rec-3820-dup-0,0.86,1,0.91,1,1,1,0.93,1,1,1,0,1
rec-1480-org,rec-1480-dup-0,0.86,1,1,0.97,1,0,1,1,0,0,0,1
rec-870-org,rec-870-dup-1,0.87,1,0.65,1,0.91,1,0.96,1,1,1,0,1
rec-30-org,rec-30-dup-0,0.87,1,1,0.95,0.95,1,0.9,0,1,0,0,1
rec-355-org,rec-355-dup-0,0.88,0.92,1,1,1,1,1,1,1,1,0,1
rec-9397-org,rec-9397-dup-0,0.88,1,1,0.95,1,1,0.74,0,1,1,0,1
rec-1922-org,rec-1922-dup-0,0.89,0.98,1,1,1,1,0,0,1,1,0,1
rec-1487-org,rec-1440-org,0.9,0.85,1,0.64,0.64,1,0.81,0,0,0,0,0
rec-4156-org,rec-4156-dup-0,0.91,1,0.91,0,1,0,1,0,1,1,0,1
rec-1206-org,rec-1206-dup-0,0.91,1,1,0,1,0,0.91,0,0,0,0,1
rec-153-org,rec-153-dup-0,0.92,0.88,1,1,1,1,1,1,0,1,0,1
rec-3434-org,rec-3434-dup-0,0.92,0.94,0.88,0.99,1,0,1,0,1,1,0,1
rec-735-org,rec-735-dup-0,0.92,0.95,0.6,1,1,0,0.93,1,1,1,0,1
rec-1371-org,rec-1371-dup-0,0.92,0.95,0.6,1,1,1,0.98,1,1,1,0,1
rec-194-org,rec-194-dup-0,0.92,1,0,1,0.52,0,0.81,0,1,1,0,1
rec-14442-org,rec-14442-dup-0,0.92,1,0.73,1,1,1,1,0,1,1,0,1
rec-14605-org,rec-14605-dup-0,0.92,1,0.78,1,1,0,1,1,1,1,0,1
rec-4616-org,rec-4616-dup-0,0.92,1,0.78,1,1,1,1,1,0,1,0,1
rec-941-dup-1,rec-941-dup-0,0.92,1,0.85,0,0.83,1,0.96,0,1,1,0,1
rec-2103-org,rec-2103-dup-0,0.92,1,1,0.93,1,1,0,0,1,1,0,1
rec-1264-org,rec-1264-dup-0,0.92,1,1,1,0.68,0,1,1,1,1,0,1
rec-2695-org,rec-2695-dup-0,0.93,0,1,0.94,1,1,0.93,1,1,0,0,1
rec-48-org,rec-48-dup-0,0.93,0.89,1,1,1,0,1,1,0,1,0,1
rec-746-org,rec-746-dup-1,0.93,0.94,1,0,1,1,0.98,1,1,1,0,1
rec-863-org,rec-863-dup-0,0.93,0.95,1,0.92,1,0,1,0,1,1,0,1
rec-2314-org,rec-2314-dup-0,0.93,0.98,1,1,0.79,1,1,1,1,1,0,1
rec-2561-org,rec-2561-dup-0,0.93,1,0.7,1,0.92,1,1,1,0,1,0,1
rec-431-org,rec-431-dup-0,0.93,1,0.72,1,0.83,1,1,0,1,1,0,1
rec-1893-org,rec-1893-dup-0,0.93,1,0.91,0.97,1,1,1,1,1,1,0,1
rec-1086-org,rec-1086-dup-0,0.93,1,1,0.92,1,1,1,0,1,1,0,1
rec-755-org,rec-755-dup-0,0.93,1,1,1,0.92,1,1,0,1,1,0,1
rec-1239-org,rec-1239-dup-0,0.94,0.95,1,1,1,1,0,1,0,1,0,1
rec-1783-org,rec-1783-dup-0,0.94,1,0,0,1,0,1,0,1,1,0,1
rec-675-org,rec-675-dup-1,0.94,1,1,1,1,1,0,1,1,1,0,1
rec-11121-org,rec-11121-dup-0,0.95,1,0.91,1,1,1,0.91,1,1,1,0,1
rec-3871-org,rec-3871-dup-0,0.95,1,1,0.89,1,1,0.98,0,1,0,0,1
rec-2095-org,rec-2095-dup-0,0.95,1,1,1,1,1,0.79,1,0,0,0,1
rec-899-org,rec-2636-org,0.96,0.75,0.91,0.65,0.52,1,0.79,0,0,0,0,0
rec-113-dup-1,rec-113-dup-0,1,1,0,0,0.79,1,1,0,0,0,0,1
rec-1465-dup-1,rec-1465-dup-0,1,1,1,0.93,0.92,1,0,0,1,1,0,1
rec-2905-dup-2,rec-2905-dup-0,0,1,0.82,0.94,1,1,1,1,0,1,0,1
rec-560-org,rec-509-dup-0,0.59,0.63,0.6,0.59,0.76,1,0.74,0,0,0,0,0
rec-822-dup-0,rec-1139-org,0.64,0.68,0.58,0.65,0.66,1,0.84,0,0,0,0,0
rec-869-dup-0,rec-1001-org,0.64,0.73,0.75,0.66,0.64,1,0,0,0,0,0,0
rec-1391-org,rec-1207-dup-1,0.65,0.74,0.6,0.7,0.64,1,0.84,0,0,0,0,0
rec-2458-org,rec-2458-dup-0,0.77,1,1,0.96,0.83,1,1,0,1,1,0,1
rec-2029-org,rec-2029-dup-0,0.79,1,1,1,0.88,1,0.96,1,1,0,0,1
rec-8974-org,rec-8974-dup-0,0.8,1,1,1,1,0,0,0,1,1,0,1
rec-292-org,rec-292-dup-0,0.8,1,1,1,1,1,1,1,1,0,0,1
rec-2056-org,rec-2056-dup-0,0.82,1,0.58,0.97,1,1,1,1,1,1,0,1
rec-1060-org,rec-1060-dup-0,0.83,0.86,1,1,0.81,1,1,0,1,1,0,1
rec-3704-org,rec-3704-dup-0,0.84,1,1,0.77,0.79,1,1,0,1,1,0,1
rec-2788-org,rec-1205-org,0.86,0.77,0.63,0.6,0.64,1,0.86,0,0,0,0,0
rec-2523-org,rec-2523-dup-0,0.86,0.95,1,1,1,1,1,0,1,1,0,1
rec-1123-org,rec-1123-dup-0,0.86,1,0,1,1,1,0,1,1,0,0,1
rec-384-org,rec-1876-org,0.86,1,0.75,0.71,0.52,1,0,0,0,0,0,0
rec-787-org,rec-787-dup-0,0.86,1,1,0,1,0,1,1,0,1,0,1
rec-1701-org,rec-1701-dup-0,0.87,0.92,1,0.97,1,1,0.81,1,1,1,0,1
rec-1472-org,rec-1472-dup-0,0.87,1,1,1,0.79,1,1,0,1,0,0,1
rec-200-org,rec-200-dup-1,0.88,1,1,0.53,0.83,1,1,1,1,1,0,1
rec-11401-org,rec-11401-dup-0,0.89,1,0.56,1,1,1,0,0,1,1,0,1
rec-4740-org,rec-4740-dup-0,0.9,0.9,0.82,1,1,1,1,1,1,1,0,1
rec-329-org,rec-329-dup-0,0.9,1,1,1,1,1,0.89,0,0,1,0,1
rec-3503-org,rec-3503-dup-0,0.91,0.93,1,0.95,1,0,1,1,0,1,0,1
rec-213-org,rec-213-dup-0,0.91,0.96,1,0.95,0.91,1,1,0,1,1,0,1
rec-2839-org,rec-2839-dup-0,0.91,0.98,0.6,1,1,1,0,1,0,1,0,1
rec-1330-org,rec-1330-dup-0,0.91,0.98,1,1,1,0,1,1,0,1,0,1
rec-4603-org,rec-4603-dup-0,0.91,1,1,0.93,1,1,0,1,1,0,0,1
rec-3306-org,rec-3306-dup-0,0.91,1,1,0.94,1,1,0.79,0,1,1,0,1
rec-2171-org,rec-2171-dup-0,0.91,1,1,1,1,0,0.88,0,1,1,0,1
rec-142-org,rec-142-dup-0,0.92,0,0.87,1,1,1,0.93,1,1,1,0,1
rec-307-org,rec-307-dup-0,0.92,0.85,1,1,0.76,1,1,1,1,1,0,1
rec-2137-org,rec-2137-dup-1,0.92,0.91,1,0.94,1,1,1,1,0,1,0,1
rec-2422-org,rec-2422-dup-0,0.92,0.92,1,1,0.91,1,0.95,1,1,1,0,1
rec-5-org,rec-5-dup-0,0.92,0.94,1,0.95,0.83,1,1,1,1,1,0,1
rec-415-org,rec-415-dup-0,0.92,1,0,1,0.92,1,0.91,1,1,1,0,1
rec-2725-org,rec-2618-org,0.92,1,0.6,0.7,0.52,1,0.79,0,0,0,0,0
rec-989-org,rec-989-dup-0,0.92,1,0.6,1,0.76,1,1,1,1,1,0,1
rec-666-org,rec-666-dup-0,0.92,1,0.65,0,1,0,0,1,1,1,0,1
rec-1159-org,rec-1159-dup-0,0.92,1,0.82,0.98,0.92,0,0.79,1,1,1,0,1
rec-1817-org,rec-1817-dup-1,0.92,1,1,1,1,1,0.81,0,0,1,0,1
rec-3708-org,rec-3708-dup-0,0.93,0.88,0.82,0.94,1,1,1,1,1,1,0,1
rec-2926-org,rec-2926-dup-0,0.93,0.92,0.82,1,1,0,1,1,1,0,0,1
rec-917-org,rec-917-dup-0,0.93,0.93,1,0.91,1,0,1,1,1,1,0,1
